what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266955875529
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266955885357
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1266955886279
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1266955887279
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.wordPrevious,1266955888544
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1266955890310
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1266955890888
activated,view,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.views.AntView,1266955894107
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1266955895685
activated,editor,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.internal.editor.AntEditor,1266955898388
activated,view,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.views.AntView,1266955900435
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1266955901966
activated,editor,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.internal.editor.AntEditor,1266955909404
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1266955913170
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1266955915951
activated,view,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.views.AntView,1266955918076
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1266955919701
activated,editor,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui.internal.editor.AntEditor,1266955923217
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266955923654
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266955927076
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1266955929717
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1266955931420
no handler,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1266955932482
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1266955935732
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1266955939795
